course_number,course_name,credits,description,term,instructor,class time,availability,prerequisites,career tags,instruction mode
CSCI-B 639,TOPICS IN SOFTWARE SYSTEMS,1.0,"Special topics in software systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,TR 1:00PM–2:15PM,3,[],['Technology Generalist'],Online
CSCI-B 649,TOPICS IN SYSTEMS,1.0,"Special topics in systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,4,[],['Technology Generalist'],In Person
CSCI-B 651,NATURAL LANGUAGE PROCESSING,3.0,"Theory and methods for natural language processing. Algorithms for sentence parsing and generation. Context-free and unification grammars. Question-and-answer systems. Analysis of narratives. Finite-state approaches to computational phonology and morphology. Machine translation. Machine learning of natural language. Speech recognition. Neural-network and statistical alternatives to symbolic approaches.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,3,[],['Technology Generalist'],Hybrid
CSCI-B 652,COMPUTER MODELS OF SYMBOLIC LEARNING,3.0,"Symbolic artificial intelligence methods for learning. Inductive and explanation-based generalization. Failure-driven learning. Case-based learning. Typical content includes: operationality of explanations and utility of learning. Goal-driven learning. Criteria for when, what, and how to learn. Learning in integrated architectures.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MWF 9:00AM–10:15AM,3,[],['Technology Generalist'],Hybrid
CSCI-B 656,WEB MINING,3.0,"Machine learning techniques to mine the Web and other unstructured/semistructured, hypertextual, distributed information repositories. Crawling, indexing, ranking and filtering algorithms using text and link analysis. Applications to search, classification, tracking, monitoring, and Web intelligence. Group project on one of the topics covered in class.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,3,[],"['Data Analyst', 'Data Scientist']",Hybrid
CSCI-B 657,COMPUTER VISION,3.0,"Concepts and methods of machine vision as a branch of artificial intelligence. Basics of digital image processing. Local and global tools for deriving information from image data. Model-based object recognition and scene understanding.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,6,[],['Technology Generalist'],Hybrid
CSCI-B 659,TOPICS ARTIFICIAL INTELLIGENCE,1.0,"Special topics in artificial intelligence.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,3,[],['Technology Generalist'],Online
CSCI-B 673,ADVANCED SCIENTIFIC COMPUTING,3.0,"Multiprocessor organization: vectorization, memory organization, processor topologies and architectures. Models of parallelism. Programming language and systems for scientific and high performance computing. Environments for interactive scientific experiments and databases. Distributed programming tools. Parallelism in scientific problems: Parallel algorithmic techniques, parallel algorithms and models, parallel performance analysis and debugging.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,10,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-B 690,RESEARCH TOPICS IN COMPUTER SCIENCE,1.0,"Research topics in computer science.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,1,[],['Technology Generalist'],Online
CSCI-C 102,GREAT IDEAS IN COMPUTING,3.0,"Survey of great ideas in computing and the role of computing in the modern world. Explores how people use computing tools to realize their ideas. Emphasis on the impact of modern technology and the use of hardware and software to create solutions to everyday problems. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,7,[],"['IT Support Specialist', 'Tech Consultant']",In Person
CSCI-C 200,INTRODUCTION TO COMPUTERS AND PROGRAMMING,4.0,"This course is an introduction, broadly, to algorithmic thinking and, specifically, to programming. It teaches the basics of programming using real world applications in natural, physical and social sciences. Students will develop ability to program by identifying problems in real world and then creating a program that solves the problem.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,0,[],"['Software Developer', 'Backend Engineer']",Online
CSCI-C 211,INTRODUCTION TO COMPUTER SCIENCE,4.0,"A first course in computer science for those intending to take advanced computer science courses. Introduction to programming and to algorithm design and analysis. Using the Scheme programming language, the course covers several programming paradigms. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MWF 9:00AM–10:15AM,9,[],['Technology Generalist'],Online
CSCI-C 212,INTRODUCTION TO SOFTWARE SYSTEMS,4.0,"Design of computer software systems and introduction to programming in the environment of a contemporary operating system. Topics include a modern object-oriented programming language; building and maintaining large projects; and understanding the operating system interface.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,4,[],['Technology Generalist'],Hybrid
CSCI-C 231,INTRODUCTION TO THE MATHEMATICS OF CYBERSECURITY,3.0,"The goal of this course is for students to be introduced to the basic mathematical tools used in modern cybersecurity. The course covers introductory mathematical material from a number of disparate fields including probability theory, analysis of algorithms, complexity theory, number theory, and group theory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,0,[],['Technology Generalist'],In Person
CSCI-C 241,DISCRETE STRUCTURES FOR COMPUTER SCIENCE,3.0,"Induction and recursive programs, running time, asymptotic notations, combinatorics and discrete probability, trees and lists, the relational data model, graph algorithms, propositional and predicate logic.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,1,[],['Technology Generalist'],Online
CSCI-C 290,TOPICS IN COMPUTER SCIENCE,1.0,"Exploration of topics in computing. Common topics include tools for power users.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,3,[],['Technology Generalist'],Hybrid
CSCI-C 291,SYSTEM PROGRAMMING WITH C AND UNIX,3.0,"This course provides an introduction to programming in a Unix (Linux) environment using the C language. The key ideas to be discussed are: the Unix shell, file system and basic shell commands; the emacs text editor; and the C programming language.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,7,[],"['Software Developer', 'Backend Engineer']",Hybrid
CSCI-C 292,INTRODUCTION TO GAME PROGRAMMING,3.0,"This course explores the world of game development with a focus on programming for games. It provides an introduction to game programming using a state-of-the-art language (e.g., C#) in a game engine (e.g., Unity).
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,8,[],"['Software Developer', 'Backend Engineer']",In Person
CSCI-C 295,LEADERSHIP AND LEARNING,1.0,"Students in this course learn and practice how to teach fundamental Computer Science concepts and skills, and investigate strategies to increase K-12 students' interest in CS with different race, gender, age, socioeconomic status, and academic background. Furthermore, this course trains undergraduate instructors in the department to better perform their duties.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MW 3:00PM–4:15PM,7,[],['Technology Generalist'],In Person
CSCI-C 311,PROGRAMMING LANGUAGES,3.0,"Systematic approach to programming languages. Relationships among languages, properties, and features of languages; and the computer environment necessary to use languages.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,6,[],"['Software Developer', 'Backend Engineer']",Online
CSCI-C 322,OBJECT-ORIENTED SOFTWARE METHODS,4.0,"Design and implementation of complex software systems and applications exploiting the object-oriented paradigm. Selection and effective utilization of object-oriented libraries and interfaces.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,5,[],['Technology Generalist'],In Person
CSCI-C 323,MOBILE APP DEVELOPMENT,3.0,"This course focuses on development of mobile applications for modern platforms and introduces common tools and languages used. The course will emphasize the app development cycle: application design, development, testing, publishing and distribution; development tools and emulators/simulators; user interface layout; using sensors including touch, geo-location and orientation; and data management.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MWF 9:00AM–10:15AM,3,[],['Technology Generalist'],Online
CSCI-C 335,COMPUTER STRUCTURES,3.0,"Structure and internal operation of computers. The architecture and assembly language programming of a specific computer are stressed, in addition to general principles of hardware organization and low-level software systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],Online
CSCI-C 343,DATA STRUCTURES,3.0,"Systematic study of data structures encountered in computing problems, structure and use of storage media, methods of representing structured data, and techniques for operating on data structures.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,8,[],"['Data Analyst', 'Data Scientist']",Hybrid
CSCI-C 460,SENIOR PROJECT I,3.0,"Students work on projects in supervised teams, from planning and design to implementation, testing and releasing of a final product. Teamwork, communication, and organizational skills are emphasized in a real-world-style environment.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MWF 9:00AM–10:15AM,2,[],['Technology Generalist'],Online
CSCI-C 470,SENIOR PROJECT II,3.0,"Students work on projects in supervised teams, from planning and design to implementation, testing and releasing of a final product. Teamwork, communication, and organizational skills are emphasized in a real-world-style environment.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,5,['CSCI-A 201'],['Technology Generalist'],Hybrid
CSCI-C 581,ADVANCED PRINCIPLES OF COMPUTER GRAPHICS,3.0,"Introduction to graphics hardware and software. Two-dimensional graphics methods, transformations, and interactive methods. Three-dimensional graphics, transformations, and viewing geometry. Three-dimensional object modeling and interactive manipulation methods. Basic lighting and surface shading. Introduction to video and animation methods.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,2,[],['Technology Generalist'],Online
CSCI-G 901,ADVANCED RESEARCH,6.0,"Available to graduate students who have completed all course requirements for their doctorates, have passed doctoral qualifying examinations, and have the requisite number of degree credit hours, this course provides the advanced research student with a forum for sharing ideas and problems under the supervision of a senior researcher.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MW 3:00PM–4:15PM,1,[],['Technology Generalist'],Online
CSCI-H 200,"INTRODUCTION TO COMPUTERS AND PROGRAMMING, HONORS",4.0,"Honors version of CSCI-C 200. This course is an introduction, broadly, to algorithmic thinking and, specifically, to programming. It teaches the basics of programming using real world applications in natural, physical and social sciences. Students will develop ability to program by identifying problems in real world and then creating a program that solves the problem.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,TR 1:00PM–2:15PM,7,[],"['Software Developer', 'Backend Engineer']",Online
CSCI-H 211,INTRODUCTION TO COMPUTER SCIENCE-HONORS,4.0,"Honors version of CSCI-C 211.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,7,[],['Technology Generalist'],Online
CSCI-H 212,"INTRODUCTION TO SOFTWARE SYSTEMS, HONORS",4.0,"Honors version of C212
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,7,[],['Technology Generalist'],Hybrid
CSCI-H 241,"DISCRETE STRUCTURES FOR COMPUTER SCIENCE, HONORS",3.0,"Honors version of CSCI-C 241.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,9,[],['Technology Generalist'],Online
CSCI-H 311,PROGRAMMING LANGUAGES HONORS,4.0,"Honors version of CSCI-C 311.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,2,[],"['Software Developer', 'Backend Engineer']",Online
CSCI-H 335,COMPUTER STRUCTURES HONORS,4.0,"Structure and internal operation of computers. The architecture and assembly language programming of a specific computer are stressed, in addition to general principles of hardware organization and low-level software systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],Hybrid
CSCI-H 343,"DATA STRUCTURES, HONORS",4.0,"Honors version of CSCI-C 343.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,8,[],"['Data Analyst', 'Data Scientist']",Online
CSCI-P 415,INTRODUCTION TO VERIFICATION,3.0,"Tools and techniques for rigorous reasoning about software and digital hardware. Safety, reliability, security, and other design-critical applications. Decision algorithms. Projects involving the use of automated reasoning, such as model checkers, theorem provers, and program transformation.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MWF 9:00AM–10:15AM,0,[],['Technology Generalist'],In Person
CSCI-P 423,COMPILERS,4.0,"Compiler design and construction, including lexical analysis, parsing, code generation, and optimization. Extensive laboratory exercises.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MWF 9:00AM–10:15AM,4,[],['Technology Generalist'],Online
CSCI-P 424,ADVANCED FUNCTIONAL PROGRAMMING,4.0,"This course teaches advanced techniques for functional programming, which can be used to make programs easier to read and compose. These techniques include equational reasoning, types, monads, and code generation. Some of them are useful even when using a ""non-functional"" language. Some of them are drawn from cutting-edge research.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,8,[],"['Software Developer', 'Backend Engineer']",In Person
CSCI-P 434,DISTRIBUTED SYSTEMS,4.0,"Principles of distributed systems including system design, distributed algorithms, consistency and concurrency, and reliability and availability. The role of these foundational issues in distributed file systems, distributed computing, and data-driven systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MWF 9:00AM–10:15AM,3,[],['Technology Generalist'],Hybrid
CSCI-P 436,INTRODUCTION TO OPERATING SYSTEMS,4.0,"Organization and construction of computer systems and manage computational resources. Topics include specification and implementation of concurrency, process scheduling, storage management, device handlers, and mechanisms for event coordination.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,4,[],['Technology Generalist'],Online
CSCI-P 438,INTRODUCTION TO COMPUTER NETWORKS,4.0,"Foundations of computer networks. Networking hardware technology such as Ethernet, ATM, wireless. Networking protocols (TCP/IP) routing, error correcting. Network services such as DNS, Web servers, virtual private networks (VPN), open SSL.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],Hybrid
CSCI-P 442,DIGITAL SYSTEMS,4.0,"Elements of computer architecture construction of hardware systems, emphasizing combination of components to form systems, and applications of general principles of computing to digital implementation. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,5,[],['Technology Generalist'],Online
CSCI-P 462,DATABASE APPLICATION DESIGN AND IMPLEMENTATION,3.0,"This course deals with practical issues in the design and implementation of database application systems. Topics include database modeling design, query languages, communication with data, transaction management, concurrency control techniques, security, database design procedures, and some advanced database applications, such as data warehousing, data mining, semi-structured data and semantic web.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,10,[],"['Data Analyst', 'Data Scientist']",In Person
CSCI-P 465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,3.0,"Analysis design, and implementation of information systems. Project specification. Data modeling. Software design methodologies. Software quality assurance. Supervised team development of a real system for a real client.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,TR 1:00PM–2:15PM,7,[],['Technology Generalist'],In Person
CSCI-P 466,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS II,3.0,"Analysis design, and implementation or information systems. Project specification. Data modeling. Software design methodologies. Software quality assurance. Supervised team development of a real system for a real client.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,5,['CSCI-A 201'],['Technology Generalist'],In Person
CSCI-P 515,SPECIFICATION AND VERIFICATION,3.0,"Tools and techniques for rigorous reasoning about software and digital hardware. Safety, reliability, security, and other design-critical applications. Decision algorithms, projects involving the use of automated reasoning, such as model checkers, theorem provers, and program transformation.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,5,[],['Technology Generalist'],Hybrid
CSCI-P 523,PROGRAMMING LANGUAGE IMPLEMENT,3.0,"Implementation of traditional and nontraditional computer programming languages. Compilation, including lexical analysis, parsing, optimization, code generation, and testing. Run-time support, including run-time libraries, storage management, input-output. Comparison of implementation techniques. Extensive laboratory exercises.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,0,[],"['Software Developer', 'Backend Engineer']",In Person
CSCI-P 532,OBJECT-ORIENTED SOFTWARE DEVELOPMENT,3.0,"This course will help turn motivated students into superior contributors to any small- to mid-sized commercial or open-source software project. It takes a hands-on, learning-by-doing approach. Students are introduced to design patterns, tools, and teamwork strategies from the first assignment to the last project.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,TR 1:00PM–2:15PM,2,[],['Technology Generalist'],Hybrid
CSCI-P 535,PERVASIVE COMPUTING,3.0,"Topics in pervasive computing, such as sensors, mobility, tangibles, ambient displays, middleware, location and context-awareness; user-centered design methods, such as requirements gathering, design, prototyping and evaluation.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,0,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-P 536,ADVANCED OPERATING SYSTEMS,3.0,"Advanced topics in operating systems, such as: multi-tasking, synchronization mechanisms, distributed system architecture, client-server models, distributed mutual exclusion and concurrency control, agreement protocols, load balancing, failure recovery, fault tolerance, cryptography, multiprocessor operating systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MW 3:00PM–4:15PM,5,[],['Technology Generalist'],Hybrid
CSCI-P 538,COMPUTER NETWORKS,3.0,"Layered TCP/IP architecture. LAN technologies (Ethernet, wireless, token rings). Switching. Internet addressing (IPv4, IPv6). Routing protocols. Congestion control (TCP, UDP). Applications (DNS, HTTP, peer-to-peer networks). Selection of topics including DHCP, ICMP, VPNs, multicast, security.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,6,[],['Technology Generalist'],Hybrid
CSCI-P 542,HARDWARE SYSTEM DESIGN II,3.0,"Structured approach to hardware design, exposing performance factors as well as target technologies and their influence on the design process. Basic training in the use of design and simulation software. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,8,['CSCI-A 201'],['Technology Generalist'],Hybrid
CSCI-P 556,APPLIED MACHINE LEARNING,3.0,"The main aim of the course is to provide skills to apply machine learning algorithms on real applications. We will consider fewer learning algorithms and less time on math and theory and instead spend more time on hands-on skills required for algorithms to work on a variety of data sets.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,TR 1:00PM–2:15PM,6,[],['Technology Generalist'],Hybrid
CSCI-P 565,SOFTWARE ENGINEERING I,3.0,"Analysis, design and implementation of software systems. Requirements specification: data and process modeling. Software design methodologies. Software quality assurance: testing and verification. Software development processes.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],Hybrid
CSCI-P 566,SOFTWARE ENGINEERING II,3.0,"Analysis, design and implementation of software systems. Requirements specification: data and process modeling. Software design methodologies. Software quality assurance: testing and verification. Software development processes.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,0,['CSCI-A 201'],['Technology Generalist'],Hybrid
CSCI-P 573,SCIENTIFIC COMPUTING,3.0,"Please visit the school or campus website for more information about this course.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,TR 1:00PM–2:15PM,10,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-P 632,OBJECT-ORIENTED SOFTWARE MANAGEMENT,3.0,"This course will help turn motivated students into superior managers of any small- to mid-sized commercial or open-source software project. It takes a hands-on, learning-by-doing approach. Students are introduced to the main management concerns of managing smallish design and development teams.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,1,[],['Technology Generalist'],Online
CSCI-T 500,COMPUTER SCIENCE FOUNDATIONS,3.0,"This is a graduate level course designed to introduce foundational Computer Science concepts to students who did not complete undergraduate Computer Science coursework. Created primarily for K-12 educational stakeholders, the course is also appropriate for college graduate audiences of non-computing disciplines interested in beginning a broad exploration of the field.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,2,[],['Technology Generalist'],Hybrid
CSCI-T 510,INTRODUCTION TO COMPUTERS AND PROGRAMMING,3.0,"This is a graduate level course designed to introduce programming to students who did not complete undergraduate Computer Science coursework. Created for K-12 educational stakeholders, the course is also appropriate for college graduate audiences of non-computing disciplines interested in beginning exploration of programming.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,TR 1:00PM–2:15PM,8,[],"['Software Developer', 'Backend Engineer']",Online
CSCI-T 599,TOPICS IN COMPUTER SCIENCE EDUCATION,1.0,"Special topics in Computer Science education.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MWF 9:00AM–10:15AM,2,[],['Technology Generalist'],Online
CSCI-Y 390,UNDERGRADUATE INDEPENDENT STUDY,1.0,"Independent research based on existing literature or original work. A report, in the style of a departmental technical report, is required.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,8,[],['Technology Generalist'],Hybrid
CSCI-Y 391,UNDERGRADUATE INDEPENDENT SYSTEM DEVELOPMENT,1.0,"The student designs, programs, verifies, and documents a project assignment selected in consultation with an employer and the department.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,TR 1:00PM–2:15PM,6,[],['Technology Generalist'],In Person
CSCI-Y 395,CAREER DEVELOPMENT FOR CSCI MAJORS,1.0,"Develop skills and knowledge that enable you to successfully pursue your career search, both at the time of graduation and later as you progress through your career. The course covers techniques and strategies which make your job search more efficient and effective.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,TR 1:00PM–2:15PM,4,[],['Technology Generalist'],Hybrid
CSCI-Y 399,PROJECT IN PROFESSIONAL PRACTICE,3.0,"The student designs, programs, verifies, and documents a project assignment selected in consultation with an employer and the department.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MW 3:00PM–4:15PM,3,[],['Technology Generalist'],Hybrid
CSCI-Y 499,HONORS RESEARCH,1.0,"Please visit the school or campus website for more information about this course.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MWF 9:00AM–10:15AM,2,[],['Technology Generalist'],Online
CSCI-Y 790,GRADUATE INDEPENDENT STUDY,1.0,"Independent study under the direction of a faculty member, culminating in a written report.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,10,[],['Technology Generalist'],Online
CSCI-Y 791,GRADUATE INDEPENDENT SYSTEM DEVELOPMENT,1.0,"System development culminating in written report and a publicly available system.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MWF 9:00AM–10:15AM,8,[],['Technology Generalist'],Online
CSCI-Y 792,MASTER'S THESIS,1.0,"Readings and research under the supervision of the master's thesis advisor, leading to a thesis at a level admissible as a departmental technical report.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,7,[],['Technology Generalist'],In Person
CSCI-Y 793,MASTER'S SOFTWARE THESIS,1.0,"A major software development project, possibly performed jointly with other students, documented in the public domain, and with final approval by three graduate faculty.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,3,[],['Technology Generalist'],Hybrid
CSCI-Y 798,PROFESSIONAL PRACTICUM / INTERNSHIP,0.0,"Provides for participation in graduate level professional training and internship experience.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,9,[],['Technology Generalist'],Online
CSCI-Y 799,COMPUTER SCIENCE COLLOQUIUM,1.0,"A series of talks by researchers in computer science and closely related areas presenting their recent research. A minimum of 75% attendance and course work in the form of a written report based on the talk by any colloquium speaker are required for credit.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MWF 9:00AM–10:15AM,5,[],['Technology Generalist'],In Person
CSCI-Y 890,THESIS READINGS AND RESEARCH,1.0,"Research under the direction of a member of the graduate faculty leading to a PhD dissertation.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MWF 9:00AM–10:15AM,9,[],['Technology Generalist'],Online
CJUS-K 300,TECHNIQUES OF DATA ANALYSIS,3,"Covers the properties of single variables, the measurement of association between pairs of variables, and statistical inference. Additional topics, such as the analyses of qualitative and aggregated data, address specific criminal justice concerns.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MWF 10:00AM–11:15AM,1,['CJUS-P 250'],"['Crime Data Analyst', 'Research Assistant']",In Person
CJUS-P 100,INTRODUCTION TO CRIMINAL JUSTICE,3,"Historical and philosophical background, structure, functions, and operation of the criminal justice system in the United States. Introduction to and principles of formal behavior control.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MW 1:00PM–2:15PM,9,[],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 200,THEORIES OF CRIME AND DEVIANCE,3,"Critical examination of biological, psychological, and sociological theories of crime and deviance. Examination of individual, group, and societal reactions to norm-violating behaviors.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,MWF 10:00AM–11:15AM,7,['CJUS-P 100'],"['Criminologist', 'Policy Analyst']",Hybrid
CJUS-P 245,SOCIAL JUSTICE AND THE JUSTICE SYSTEM,3,"Overview of issues related to diversity and how it impacts and relates to the criminal justice system. Provides a criminological perspective on multiculturalism, social inequality, and discrimination in the criminal justice system. Covers class, race, ethnicity, sex, gender, with an emphasis on the analysis of social justice.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MW 1:00PM–2:15PM,5,['CJUS-P 100'],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 250,ISSUES IN CRIMINAL JUSTICE,3,"Thorough review and analysis of issues currently facing criminal justice systems. Topics vary each semester: see listing in the schedule of classes.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,TR 2:30PM–3:45PM,5,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 290,THE NATURE OF INQUIRY,3,"Introduction to research methodology, nature of scientific inquiry, research design, basic research methods, and presentation of research findings.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,4,[],['Public Sector Professional'],In Person
CJUS-P 300,TOPICS IN CRIMINAL JUSTICE,3,"Extensive analysis of selected topics and themes in criminal justice. Topics vary each semester; see listing in the Schedule of Classes.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,2,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
